BullName,,ABSNum,ASANum,,Sexed Semen,CED,API,TI,BW,WW,YW,YH,CEM,MILK,DOC,CW,MARB,REA,MCE,TM,M&G,MCW,BF,MWW,YG,CARC,SHR,Total
Hooks Shear Force 38K,C Diamond or Hooks,,2081939,PB SM,,22.4,183.5,82.1,-3.6,54.5,73.1,,,33.6,13.7,7.8,0.55,1.39,12.8,,,,,60.9,-0.57,,-0.35,
Bar CK Tebow 1006X,Direct from Owner,,2614607,1/2 AN 1/2 SM,,17.8,201.5,88.5,-7.2,44.5,63.2,,,28.6,5.7,-3,1.12,0.49,13.9,,,,,50.9,-0.2,,-0.54,
RCR Stetson T17,Select Sires,7SM54 Select Sires,2396913,PB SM,X,17.9,164,74,-2,51,77.4,,,,7.1,13.3,0.41,0.91,13.2,,,,,57.3,-0.42,,,
GW-WBF Substance 820Y,Select Sires,7SM72 Select Sires,2605922,3/4 SM 1/4 AN,,14.3,156.7,79.6,-0.2,64.7,108.2,,,21.3,20.3,34.5,0.57,0.84,11.6,,,,,53.6,,,-1,
WLE Uno Mas X549 ,Select Sires,7SM65 Select Sires,2532016,PB SM,,17.3,154.8,75.7,-2,53.3,64.3,,,18.3,13.4,4.5,0.52,0.65,10.2,,,,,44.9,-0.4,,,
HPF Optimizer A512,Select Sires,7SM79 Select Sires,2728015,3/4 SM 1/4 AN,X,10.2,133.1,75,1.1,69.2,106.6,,,20.6,12.9,34.9,0.27,0.63,8.3,,,,,55.2,-0.22,,,
WLE/LWSC Revolution A409,Select Sires,7SM81 Select Sires,2754651,PB SM,,9.8,131.8,78.3,1.5,70.8,101.6,,,23.5,12.1,32.1,0.35,1.02,5.9,,,,,58.9,-0.48,,,
Gibbs 0601X Raisin'Cain,Select Sires,7SM69 Select Sires,2602502,PB SM,,11.7,131.6,78,2.4,82.4,120.4,,,14.7,13.1,44.5,0.1,1.15,8,,,,,55.9,-0.56,,,
Hook's Infiniti 10U,Universal Semen Sales,,2465938,PB SM,,4.5,156.6,82.7,6.6,81.1,126.4,,,1.5,14.5,54.8,0.68,0.92,6.9,,,,,42,-0.19,,0.92,
Hook's Trinity 9T,,,2389750,3/4 SM 1/4 AN,,24.4,192.4,84.5,-5,68.1,100.1,,,20.3,11.3,21.3,0.4,0.98,16,,,,,54.2,-0.35,,-0.39,
Final Answer,,,2524760,1/2 AN 1/2 SM,,,171,86,,,,,,,,,,,,,,,,,,,,
GLS Integrate Z3,,,2659754,,,10.8,147,82.6,-0.2,80.4,118.7,,,23.6,11.3,39.7,0.2,1.06,7.9,,,,,63.7,,,-0.27,
Hook's Zebulon 59Z,,,2674958,3/4 SM 1/4 AN,,11.8,142.7,72.6,2.7,56,91.6,,,25.1,11.7,29,0.63,0.85,10,,,,,53.1,,,-0.46,
Cowboy Cut,,,2703910,,,9.7,137,77,1.8,76.3,112.4,,,15.4,10.8,39,0.28,0.79,8.7,,,,,,-0.22,,-0.44,
